,Region,Sub-region,Country/Territory,Total,Male,Female,Year,Age,Source,Method,Drug,Low,High,ISO3
140,Europe,South-Eastern Europe,Croatia,0.8,1.2,0.4,2015,15-64,ARQ,HHS,Cocaine,,,HRV
141,Europe,South-Eastern Europe,Croatia,0.5,,,2012,15-64,EMCDDA,HHS,Cocaine,,,HRV
142,Europe,South-Eastern Europe,Croatia,0.88,,,2007,15-64,ESPAD ,SS ,Cocaine,0.87,0.89,HRV
143,Europe,South-Eastern Europe,Montenegro,1.8,2,1.5,2017,15-64,ARQ,HHS,Cocaine,,,MNE
144,Europe,South-Eastern Europe,Montenegro,0.62,,,2015,15-64,ESPAD/UNODC Estimate,SS,Cocaine,0.18,1.06,MNE
145,Europe,South-Eastern Europe,Montenegro,0.52,,,2011,15-64,ESPAD,SS,Cocaine,0.17,0.86,MNE
146,Europe,South-Eastern Europe,Montenegro,0.77,,,2008,15-64,ESPAD ,SS ,Cocaine,0.01,1.71,MNE
147,Europe,South-Eastern Europe,North Macedonia,0.81,1.2,0.4,2017,15-64,ARQ,HHS,Cocaine,,,MKD
148,Europe,South-Eastern Europe,North Macedonia,0.34,,,2015,15-64,ESPAD/UNODC Estimate,SS,Cocaine,0.03,0.65,MKD
149,Europe,South-Eastern Europe,North Macedonia,0.08,,,2007,15-64,INCSR,,Cocaine,,,MKD
150,Europe,South-Eastern Europe,Romania,0.5,0.6,0.4,2019,15-64,ARQ,HHS,Cocaine,,,ROU
151,Europe,South-Eastern Europe,Romania,0.2,0.2,0.2,2016,15-64,ARQ,HHS,Cocaine,,,ROU
152,Europe,South-Eastern Europe,Romania,0.2,0.2,0.2,2013,15-64,ARQ,HHS,Cocaine,,,ROU
153,Europe,South-Eastern Europe,Romania,0.1,,,2010,15-64,ARQ,HHS,Cocaine,,,ROU
154,Europe,South-Eastern Europe,Romania,0.04,,,2007,15-64,ARQ ,HHS ,Cocaine,,,ROU
155,Europe,South-Eastern Europe,Serbia,0.1,0.1,0.1,2018,15-64,ARQ ,HHS ,Cocaine,,,SRB
156,Europe,South-Eastern Europe,Serbia,0.1,0.2,0,2014,18-64,Government source,HHS,Cocaine,,,SRB
157,Europe,South-Eastern Europe,Serbia,0.54,,,2008,15-64,Government sources,HHS,Cocaine,0.14,1.18,SRB
158,Europe,South-Eastern Europe,Türkiye,0.05,0.11,,2018,15-64,ARQ,HHS,Cocaine,,,TUR
159,Europe,South-Eastern Europe,Türkiye,0.05,0.11,,2017,15-64,EMCDDA,HHS,Cocaine,,,TUR
160,Europe,South-Eastern Europe,Türkiye,0.04,,,2003,15-64,UNODC Estimate,,Cocaine,,,TUR
161,Europe,Western and Central Europe,Austria,2.42,,,2020,15-64,Government source,HHS,Cocaine,2.02,2.9,AUT
162,Europe,Western and Central Europe,Austria,0.4,0.4,0.3,2015,15-64,Government source,HHS,Cocaine,0.2,0.6,AUT
163,Europe,Western and Central Europe,Austria,0.9,,,2008,15-64,ARQ,HHS,Cocaine,,,AUT
164,Europe,Western and Central Europe,Austria,0.9,,,2004,15-64,EMCDDA ,HHS ,Cocaine,,,AUT
165,Europe,Western and Central Europe,Belgium,1.4,2.2,0.4,2018,15-64,ARQ,HHS,Cocaine,,,BEL
166,Europe,Western and Central Europe,Belgium,0.5,0.7,0.3,2013,15-64,ARQ,HHS,Cocaine,,,BEL
167,Europe,Western and Central Europe,Belgium,0.9,1.3,0.5,2008,15-64,ARQ,HHS,Cocaine,,,BEL
168,Europe,Western and Central Europe,Belgium,1.21,,,2007,15-64,ESPAD ,SS ,Cocaine,,,BEL
169,Europe,Western and Central Europe,Cyprus,0.5,0.9,0.1,2019,15-64,ARQ,HHS,Cocaine,,,CYP
170,Europe,Western and Central Europe,Cyprus,0.2,0.4,0,2016,15-64,ARQ,HHS,Cocaine,,,CYP
171,Europe,Western and Central Europe,Cyprus,0.3,0.4,0.2,2012,15-64,ARQ,HHS,Cocaine,,,CYP
172,Europe,Western and Central Europe,Cyprus,1.2,2,0.5,2009,15-64,ARQ,HHS,Cocaine,,,CYP
173,Europe,Western and Central Europe,Cyprus,0.6,1.1,0.1,2006,15-65,ARQ ,,Cocaine,,,CYP
174,Europe,Western and Central Europe,Czechia,0.5,0.2,0.7,2019,15-64,ARQ,HHS,Cocaine,,,CZE
175,Europe,Western and Central Europe,Czechia,0.1,0.1,0.1,2018,15-64,ARQ,HHS,Cocaine,,,CZE
176,Europe,Western and Central Europe,Czechia,0.1,0,0.2,2017,15-64,EMCDDA,HHS,Cocaine,,,CZE
177,Europe,Western and Central Europe,Czechia,0.3,0.4,0.2,2016,15-64,ARQ,HHS,Cocaine,,,CZE
178,Europe,Western and Central Europe,Czechia,0.1,0,0.2,2015,15-64,ARQ,HHS,Cocaine,,,CZE
179,Europe,Western and Central Europe,Czechia,0.2,0.5,0,2014,15-64,ARQ,HHS,Cocaine,,,CZE
180,Europe,Western and Central Europe,Czechia,0.1,0.2,0,2013,15-64,ARQ,HHS,Cocaine,,,CZE
181,Europe,Western and Central Europe,Czechia,0.4,0.8,0,2012,15-64,ARQ,HHS,Cocaine,,,CZE
182,Europe,Western and Central Europe,Czechia,0.4,,,2010,15-64,ARQ,HHS,Cocaine,,,CZE
183,Europe,Western and Central Europe,Czechia,0.7,,,2008,15-64,Government sources ,HHS ,Cocaine,,,CZE
184,Europe,Western and Central Europe,Denmark,1.6,2.6,0.7,2017,16-64,ARQ,HHS,Cocaine,,,DNK
185,Europe,Western and Central Europe,Denmark,0.9,1.5,0.5,2013,16-64,ARQ,HHS,Cocaine,,,DNK
186,Europe,Western and Central Europe,Denmark,0.9,,,2010,16-64,ARQ,HHS,Cocaine,,,DNK
187,Europe,Western and Central Europe,Denmark,1.4,,,2008,16-64,ARQ,HHS,Cocaine,,,DNK
188,Europe,Western and Central Europe,Estonia,1.03,1.32,0.83,2018,16-64,ARQ,HHS,Cocaine,,,EST
189,Europe,Western and Central Europe,Estonia,0.6,0.8,0.4,2008,15-64,ARQ,HHS,Cocaine,,,EST
190,Europe,Western and Central Europe,Estonia,0.6,,,2003,15-64,ARQ ,HHS ,Cocaine,,,EST
191,Europe,Western and Central Europe,Finland,0.9,1.4,0.5,2018,15-64,ARQ,HHS,Cocaine,,,FIN
192,Europe,Western and Central Europe,Finland,0.5,0.9,0.1,2014,15-64,ARQ,HHS,Cocaine,,,FIN
193,Europe,Western and Central Europe,Finland,0.2,0.3,0.1,2010,15-64,ARQ,HHS,Cocaine,,,FIN
194,Europe,Western and Central Europe,Finland,0.5,,,2006,15-64,ARQ,,Cocaine,,,FIN
195,Europe,Western and Central Europe,France,1.7000000000000002,2.45,0.95,2017,18-64,ARQ/UNODC estimate,HHS,Cocaine,1.6,1.8,FRA
196,Europe,Western and Central Europe,France,1.1,1.4,0.7,2014,15-64,ARQ,HHS,Cocaine,,,FRA
197,Europe,Western and Central Europe,France,0.88,0.88,0.88,2010,15-64,EMCDDA,HHS,Cocaine,,,FRA
198,Europe,Western and Central Europe,France,0.6,,,2005,15-64,ARQ ,,Cocaine,,,FRA
199,Europe,Western and Central Europe,Germany,1.12,1.41,0.82,2018,18-64,ARQ,HHS,Cocaine,,,DEU
200,Europe,Western and Central Europe,Germany,0.6,0.8,0.5,2015,18-64,ARQ/Academic,HHS,Cocaine,0.4,0.9,DEU
201,Europe,Western and Central Europe,Germany,0.8,1.3,0.3,2012,18-64,ARQ,HHS,Cocaine,,,DEU
202,Europe,Western and Central Europe,Germany,0.8,1.2,0.4,2009,18-64,ARQ,HHS,Cocaine,,,DEU
203,Europe,Western and Central Europe,Germany,0.7,,,2006,18-64,Government source ,HHS ,Cocaine,,,DEU
204,Europe,Western and Central Europe,Greece,0.4,0.5,0.3,2015,18-64,ARQ,HHS,Cocaine,,,GRC
205,Europe,Western and Central Europe,Greece,0.1,0.1,0.1,2004,15-64,EMCDDA,,Cocaine,,,GRC
206,Europe,Western and Central Europe,Hungary,0.3,0.5,0.3,2019,18-64,ARQ,HHS,Cocaine,,,HUN
207,Europe,Western and Central Europe,Hungary,0.31,0.5,0.14,2015,18-64,ARQ,HHS,Cocaine,,,HUN
208,Europe,Western and Central Europe,Hungary,0.2,,,2007,18-64,ARQ,HHS,Cocaine,0,0.4,HUN
209,Europe,Western and Central Europe,Iceland,1.06,,,2015,15-64,ESPAD/UNODC Estimate,SS,Cocaine,0.29,1.83,ISL
210,Europe,Western and Central Europe,Iceland,0.92,,,2011,15-64,ESPAD,SS,Cocaine,0.35,1.5,ISL
211,Europe,Western and Central Europe,Iceland,0.88,,,2007,15-64,ESPAD ,SS ,Cocaine,0.87,0.89,ISL
212,Europe,Western and Central Europe,Ireland,2.4,,,2019,15-64,ARQ/UNODC Estimate,HHS,Cocaine,2.3,2.5,IRL
213,Europe,Western and Central Europe,Ireland,1.5,2.6,0.5,2015,15-64,ARQ,HHS,Cocaine,,,IRL
214,Europe,Western and Central Europe,Ireland,1.5,2.3,0.7,2011,15-64,ARQ,HHS,Cocaine,,,IRL
215,Europe,Western and Central Europe,Ireland,1.7,,,2007,15-64,Government source ,HHS ,Cocaine,,,IRL
216,Europe,Western and Central Europe,Italy,1.21,1.46,0.95,2017,15-64,ARQ,HHS,Cocaine,,,ITA
217,Europe,Western and Central Europe,Italy,1.1,1.4,0.7,2013,15-64,ARQ,HHS,Cocaine,,,ITA
218,Europe,Western and Central Europe,Italy,0.6,1.01,0.25,2012,15-64,ARQ,HHS,Cocaine,,,ITA
219,Europe,Western and Central Europe,Italy,2.1,,,2008,15-64,EMCDDA,HHS,Cocaine,,,ITA
220,Europe,Western and Central Europe,Italy,2.1,,,2005,15-64,EMCDDA ,HHS ,Cocaine,,,ITA
221,Europe,Western and Central Europe,Latvia,1.3,1.7,0.9,2020,15-64,ARQ,HHS,Cocaine,,,LVA
222,Europe,Western and Central Europe,Latvia,0.5,0.8,0.3,2015,15-64,ARQ,HHS,Cocaine,,,LVA
223,Europe,Western and Central Europe,Latvia,0.2,0.4,0.1,2011,15-64,ARQ,HHS,Cocaine,,,LVA
224,Europe,Western and Central Europe,Latvia,0.5,,,2007,15-64,ARQ ,HHS ,Cocaine,,,LVA
225,Europe,Western and Central Europe,Lithuania,0.1,0.3,0.04,2016,15-64,ARQ,HHS,Cocaine,,,LTU
226,Europe,Western and Central Europe,Lithuania,0.2,0.3,0,2012,15-64,ARQ,HHS,Cocaine,,,LTU
227,Europe,Western and Central Europe,Lithuania,0.2,,,2008,15-64,ARQ,HHS,Cocaine,,,LTU
228,Europe,Western and Central Europe,Lithuania,0.3,,,2004,15-64,ARQ ,,Cocaine,,,LTU
229,Europe,Western and Central Europe,Luxembourg,0.5,0.7,0.3,2019,15-64,ARQ,HHS,Cocaine,,,LUX
230,Europe,Western and Central Europe,Luxembourg,0.4,,,2014,15-64,ARQ/Government source,HHS,Cocaine,,,LUX
231,Europe,Western and Central Europe,Luxembourg,1.04,,,2010,15-64,ARQ,SS,Cocaine,0.3,1.8,LUX
232,Europe,Western and Central Europe,Luxembourg,0.9,,,2003,15-64,UNODC Estimate,,Cocaine,,,LUX
233,Europe,Western and Central Europe,Malta,0.5,,,2013,15-64,ARQ,HHS,Cocaine,,,MLT
234,Europe,Western and Central Europe,Malta,1.78,,,2011,15-64,ESPAD,SS,Cocaine,0.69,2.86,MLT
235,Europe,Western and Central Europe,Malta,1.11,,,2007,18-65,ESPAD ,SS ,Cocaine,1.07,1.15,MLT
236,Europe,Western and Central Europe,Netherlands,2.1,2.5,1.7,2020,15-64,ARQ,HHS,Cocaine,,,NLD
237,Europe,Western and Central Europe,Netherlands,2.3,3.4,1.3,2019,15-64,EMCDDA,HHS,Cocaine,,,NLD
238,Europe,Western and Central Europe,Netherlands,2,2.7,1.3,2018,15-64,EMCDDA,HHS,Cocaine,,,NLD
239,Europe,Western and Central Europe,Netherlands,2.2,3,1.4,2017,15-64,EMCDDA,HHS,Cocaine,1.9,2.6,NLD
240,Europe,Western and Central Europe,Netherlands,2,3,1,2016,15-64,EMCDDA,HHS,Cocaine,,,NLD
241,Europe,Western and Central Europe,Netherlands,1.9,2.8,1,2015,15-64,EMCDDA,HHS,Cocaine,,,NLD
242,Europe,Western and Central Europe,Netherlands,1.6,2.2,1,2014,15-64,ARQ,HHS,Cocaine,,,NLD
243,Europe,Western and Central Europe,Netherlands,1.2,,,2009,15-64,ARQ,HHS,Cocaine,,,NLD
244,Europe,Western and Central Europe,Netherlands,0.6,,,2005,15-64,ARQ ,,Cocaine,,,NLD
245,Europe,Western and Central Europe,Norway,0.8,1.2,0.4,2020,16-64,ARQ,HHS,Cocaine,,,NOR
246,Europe,Western and Central Europe,Norway,1.2,1.6,0.8,2019,16-64,ARQ,HHS,Cocaine,,,NOR
247,Europe,Western and Central Europe,Norway,1.2,2.1,0.2,2018,16-64,ARQ,HHS,Cocaine,,,NOR
248,Europe,Western and Central Europe,Norway,1.1,1.4,0.7,2017,16-64,ARQ,HHS,Cocaine,,,NOR
249,Europe,Western and Central Europe,Norway,0.6,1,0.3,2016,16-64,ARQ,HHS,Cocaine,,,NOR
250,Europe,Western and Central Europe,Norway,1,1.7,0.3,2015,16-64,ARQ,HHS,Cocaine,,,NOR
251,Europe,Western and Central Europe,Norway,1,1.6,0.3,2014,16-64,ARQ,HHS,Cocaine,,,NOR
252,Europe,Western and Central Europe,Norway,0.9,1.6,0.2,2013,16-64,ARQ,HHS,Cocaine,,,NOR
253,Europe,Western and Central Europe,Norway,0.4,,,2009,15-64,ARQ,HHS,Cocaine,,,NOR
254,Europe,Western and Central Europe,Norway,0.8,,,2004,15-64,ARQ ,,Cocaine,,,NOR
255,Europe,Western and Central Europe,Poland,0.3,0.3,0.2,2019,15-64,ARQ,HHS,Cocaine,,,POL
256,Europe,Western and Central Europe,Poland,1.4,1.4,1.5,2016,15-64,ARQ,HHS,Cocaine,,,POL
257,Europe,Western and Central Europe,Poland,0.2,0.4,,2014,15-64,ARQ,HHS,Cocaine,,,POL
258,Europe,Western and Central Europe,Poland,0.2,0.3,,2012,15-64,ARQ,HHS,Cocaine,,,POL
259,Europe,Western and Central Europe,Poland,0.7,,,2010,15-64,ARQ,HHS,Cocaine,,,POL
260,Europe,Western and Central Europe,Poland,0.2,,,2006,16-64,ARQ ,,Cocaine,,,POL
261,Europe,Western and Central Europe,Portugal,0.2,0.3,0.1,2017,15-64,ARQ,HHS,Cocaine,,,PRT
262,Europe,Western and Central Europe,Portugal,0.2,0.3,0.1,2012,15-64,ARQ,HHS,Cocaine,,,PRT
263,Europe,Western and Central Europe,Portugal,0.6,,,2007,15-64,ARQ,HHS,Cocaine,,,PRT
264,Europe,Western and Central Europe,Slovakia,0.1,0.3,,2019,15-64,ARQ,HHS,Cocaine,,,SVK
265,Europe,Western and Central Europe,Slovakia,0.1,0.3,0,2015,15-64,ARQ,HHS,Cocaine,,,SVK
266,Europe,Western and Central Europe,Slovakia,0.2,,,2010,15-64,EMCDDA,HHS,Cocaine,,,SVK
267,Europe,Western and Central Europe,Slovakia,0.6,,,2006,15-64,ARQ,HHS,Cocaine,,,SVK
268,Europe,Western and Central Europe,Slovenia,0.8,1,0.5,2018,15-64,EMCDDA,HHS,Cocaine,0.6,1,SVN
269,Europe,Western and Central Europe,Slovenia,0.5,0.7,0.3,2012,15-64,ARQ,HHS,Cocaine,,,SVN
270,Europe,Western and Central Europe,Slovenia,0.6,,,2008,15-64,ARQ,HHS,Cocaine,,,SVN
271,Europe,Western and Central Europe,Slovenia,0.88,,,2007,15-64,ESPAD ,SS ,Cocaine,,,SVN
272,Europe,Western and Central Europe,Spain,2.5,4.1,1,2020,15-64,ARQ,HHS,Cocaine,,,ESP
273,Europe,Western and Central Europe,Spain,2.2,3.4,1,2017,15-64,EMCDDA,HHS,Cocaine,2,2.4,ESP
274,Europe,Western and Central Europe,Spain,2,3.1,0.9,2015,15-64,ARQ,HHS,Cocaine,,,ESP
275,Europe,Western and Central Europe,Spain,2.2,3.3,1,2013,15-64,ARQ,HHS,Cocaine,,,ESP
276,Europe,Western and Central Europe,Spain,2.3,3.6,0.9,2011,15-64,ARQ,HHS,Cocaine,,,ESP
277,Europe,Western and Central Europe,Spain,2.7,4.2,1,2009,15-64,ARQ ,HHS ,Cocaine,,,ESP
278,Europe,Western and Central Europe,Sweden,1.2,,,2017,17-64,ARQ,HHS,Cocaine,,,SWE
279,Europe,Western and Central Europe,Sweden,0.6,0.8,0.4,2013,15-64,EMCDDA,HHS,Cocaine,,,SWE
280,Europe,Western and Central Europe,Sweden,0.5,,,2008,15-64,ARQ,HHS,Cocaine,,,SWE
281,Europe,Western and Central Europe,Switzerland,0.81,,,2016,15-64,Government source,HHS,Cocaine,,,CHE
282,Europe,Western and Central Europe,Switzerland,0.66,,,2015,15-64,ARQ,HHS,Cocaine,,,CHE
283,Europe,Western and Central Europe,Switzerland,0.5,0.7,0.3,2014,15-64,ARQ,HHS,Cocaine,,,CHE
284,Europe,Western and Central Europe,Switzerland,0.5,0.5,0.4,2013,15-64,ARQ,HHS,Cocaine,,,CHE
285,Europe,Western and Central Europe,Switzerland,0.4,,,2012,15+,ARQ,HHS,Cocaine,,,CHE
286,Europe,Western and Central Europe,Switzerland,0.5,,,2011,15-64,ARQ,HHS,Cocaine,,,CHE
287,Europe,Western and Central Europe,Switzerland,0.2,,,2007,15-64,ARQ ,HHS ,Cocaine,,,CHE
288,Europe,Western and Central Europe,United Kingdom (England and Wales),2.4,3.17,1.64,2019,16-64,ARQ,HHS,Cocaine,,,GBR
289,Europe,Western and Central Europe,United Kingdom (England and Wales),2.92,4.1,1.76,2018,16-59,Government source,HHS,Cocaine,,,GBR
290,Europe,Western and Central Europe,United Kingdom (England and Wales),2.67,3.76,1.59,2017,16-59,Government source,HHS,Cocaine,,,GBR
291,Europe,Western and Central Europe,United Kingdom (England and Wales),2.32,3.34,1.31,2016,16-59,Government source,HHS,Cocaine,,,GBR
292,Europe,Western and Central Europe,United Kingdom (England and Wales),2.25,3.33,1.18,2015,16-59,Government source,HHS,Cocaine,,,GBR
293,Europe,Western and Central Europe,United Kingdom (England and Wales),2.4,3.5,1.3,2014,16-59,Government source,HHS,Cocaine,,,GBR
294,Europe,Western and Central Europe,United Kingdom (England and Wales),2.4,3.3,1.4,2013,16-59,Government source,HHS,Cocaine,,,GBR
295,Europe,Western and Central Europe,United Kingdom (England and Wales),2,2.8,1.1,2012,16-59,Government source,HHS,Cocaine,,,GBR
296,Europe,Western and Central Europe,United Kingdom (England and Wales),2.2,,,2011,16-59,Government source,HHS,Cocaine,,,GBR
297,Europe,Western and Central Europe,United Kingdom (England and Wales),2.2,,,2010,16-59,Government source ,HHS ,Cocaine,,,GBR
298,Europe,Western and Central Europe,United Kingdom (Northern Ireland),1.8,,,2014,15-64,Government source,HHS,Cocaine,,,GBR
299,Europe,Western and Central Europe,United Kingdom (Northern Ireland),1.5,,,2011,15-64,Government source,HHS,Cocaine,,,GBR
300,Europe,Western and Central Europe,United Kingdom (Northern Ireland),1.9,,,2006,15-64,Government source ,HHS ,Cocaine,,,GBR
301,Europe,Western and Central Europe,United Kingdom (Scotland),2.34,3.82,0.9,2014,16-64,Government source,HHS,Cocaine,,,GBR
302,Europe,Western and Central Europe,United Kingdom (Scotland),2.2,3.3,1.1,2012,16-64,Government source,HHS,Cocaine,,,GBR
303,Europe,Western and Central Europe,United Kingdom (Scotland),2.4,,,2011,16-64,Government source,HHS,Cocaine,,,GBR
304,Europe,Western and Central Europe,United Kingdom (Scotland),2.7,,,2010,16-64,Government source ,HHS ,Cocaine,,,GBR
305,Oceania,Australia and New Zealand,Australia,4.2,5.5,3,2019,14+,ARQ,HHS,Cocaine,,,AUS
306,Oceania,Australia and New Zealand,Australia,2.5,3.1,2,2016,14+,ARQ,HHS,Cocaine,,,AUS
307,Oceania,Australia and New Zealand,Australia,2.1,2.9,1.4,2013,14+,ARQ,HHS,Cocaine,,,AUS
308,Oceania,Australia and New Zealand,Australia,2.1,,,2010,14+,ARQ,HHS,Cocaine,,,AUS
309,Oceania,Australia and New Zealand,Australia,1.9,,,2007,15-64,Government source ,HHS ,Cocaine,,,AUS
310,Oceania,Australia and New Zealand,New Zealand,0.6,0.9,0.3,2008,16-64,Government source,HHS,Cocaine,0.3,0.8,NZL
311,Oceania,Australia and New Zealand,New Zealand,0.76,,,2006,15-64,ARQ ,HHS ,Cocaine,,,NZL
0,Africa,North Africa,Algeria,0.03,0.06,0.01,2010,12+,ARQ,HHS ,Amphetamines,,,DZA
1,Africa,North Africa,Egypt,0.48,,,2006,15-64,Govt; Academic Research,"HHS, SS",Amphetamines,0.43,0.52,EGY
2,Africa,Southern Africa,South Africa,1.02,,,2008,15-64,ARQ,HHS,Amphetamines,0.75,1.37,ZAF
3,Africa,Southern Africa,Zambia,0.1,,,2003,15-64,UNODC Estimate,,Amphetamines,,,ZMB
4,Africa,West and Central Africa,Côte d'Ivoire,0.61,,,2017,15-64,UNODC Estimate,SS,Amphetamines,0.31,0.9,CIV
5,Africa,West and Central Africa,Nigeria,0.09,,,2017,15-64,Government/UNODC,HHS/I,Amphetamines,0,1,NGA
6,Africa,West and Central Africa,Nigeria,1.4,,,2008,15-64,ARQ,HHS,Amphetamines,0.71,2.01,NGA
7,Africa,West and Central Africa,Nigeria,1.05,,,1999,,UNODC Estimate ,,Amphetamines,,,NGA
8,Americas,Caribbean,Bahamas,0.43,,,2008,15-64,ARQ,SS,Amphetamines,0.13,1.06,BHS
9,Americas,Caribbean,Bahamas,0.29,,,2003,15-64,UNODC Estimate ,,Amphetamines,,,BHS
10,Americas,Caribbean,Barbados,0.2,,,2006,12-65,CICAD,HHS,Amphetamines,,,BRB
11,Americas,Caribbean,Dominican Republic,0.95,,,2008,15-64,ARQ,SS,Amphetamines,0.04,2.59,DOM
12,Americas,Caribbean,Dominican Republic,1.1,,,2003,15-64,UNODC Estimate ,,Amphetamines,,,DOM
13,Americas,Caribbean,Grenada,0.7,,,2005,15-64,ARQ,,Amphetamines,,,GRD
14,Americas,Caribbean,Haiti,6.1,6.7,5.7,2018,15-64,ARQ,HHS,Amphetamines,,,HTI
15,Americas,Caribbean,Jamaica,0.81,,,2010,15-64,ARQ,SS,Amphetamines,0.13,1.5,JAM
16,Americas,Caribbean,Jamaica,1.14,,,2006,15-64,Government source ,SS ,Amphetamines,0.39,1.91,JAM
17,Americas,Caribbean,Puerto Rico,0.43,,,2005,15-64,Government source,SS,Amphetamines,0.13,1.06,PRI
18,Americas,Caribbean,Trinidad and Tobago,0.7,,,2006,15-64,UNODC Estimate,SS,Amphetamines,0.23,1.38,TTO
19,Americas,Caribbean,Trinidad and Tobago,0.78,,,2002,15-64,UNODC Estimate ,,Amphetamines,,,TTO
20,Americas,Central America,Belize,1.35,,,2005,12-65,CICAD,HHS,Amphetamines,,,BLZ
21,Americas,Central America,Costa Rica,0,0,0,2015,12-70,ARQ,HHS,Amphetamines,,,CRI
22,Americas,Central America,El Salvador,0.38,0.54,0.23,2014,12-65,Government Source,HHS,Amphetamines,0.24,0.54,SLV
23,Americas,Central America,Guatemala,0.91,,,2005,15-64,UNODC Estimate,,Amphetamines,,,GTM
24,Americas,Central America,Honduras,0.84,,,2005,15-64,UNODC Estimate,,Amphetamines,,,HND
25,Americas,Central America,Nicaragua,0.76,,,2003,15-64,UNODC Estimate,,Amphetamines,,,NIC
26,Americas,Central America,Panama,1.2,,,2003,12-65,CICAD,HHS,Amphetamines,,,PAN
27,Americas,North America,Bermuda,0.1,,,2009,16-65,Government source,HHS,Amphetamines,0,0.1,BMU
28,Americas,North America,Canada,0.5,0.8,0.1,2019,15+,ARQ/Government source,HHS,Amphetamines,0.2,0.7,CAN
29,Americas,North America,Canada,0.4,,0.08,2017,15+,ARQ,HHS,Amphetamines,,,CAN
30,Americas,North America,Canada,0.25,,,2015,15-64,ARQ,HHS,Amphetamines,,,CAN
31,Americas,North America,Canada,0.2,0.2,0.2,2013,15-64,ARQ,HHS,Amphetamines,,,CAN
32,Americas,North America,Canada,1.6,2.1,1.1,2012,15-64,ARQ,HHS,Amphetamines,,,CAN
33,Americas,North America,Canada,1.2,1.5,0.9,2011,15-64,ARQ,HHS,Amphetamines,,,CAN
34,Americas,North America,Canada,0.5,,,2010,15-64,ARQ ,HHS ,Amphetamines,,,CAN
35,Americas,North America,Mexico,0.3,,,2016,12-65,ARQ/UNODC Estimate,HHS,Amphetamines,0.2,0.4,MEX
36,Americas,North America,Mexico,0.12,0.2,0.1,2011,12-65,Government Source,HHS,Amphetamines,0.04,0.19,MEX
37,Americas,North America,Mexico,0.02,,,2008,12-65,Government source,HHS,Amphetamines,,,MEX
38,Americas,North America,United States of America,5.6499999999999995,5.85,5.55,2020,15-64,ARQ/UNODC Estimates,HHS,Amphetamines,5.1,6.199999999999999,USA
39,Americas,North America,United States of America,3.3,3.6,2.8,2018,15-64,ARQ,HHS,Amphetamines,,,USA
40,Americas,North America,United States of America,3.1,,,2017,15-64,UNODC Estimate/ARQ,HHS,Amphetamines,2.7,3.5,USA
41,Americas,North America,United States of America,2.95,,,2016,15-64,UNODC Estimate,HHS,Amphetamines,2.6,3.3,USA
42,Americas,North America,United States of America,2.9,,,2015,15-64,UNODC Estimate,HHS,Amphetamines,2.5,3.3,USA
43,Americas,North America,United States of America,1.7,,,2014,15-64,Government,,Amphetamines,,,USA
44,Americas,North America,United States of America,1.9,2.2,1.7,2013,15-64,ARQ,HHS,Amphetamines,,,USA
45,Americas,North America,United States of America,1.9,,,2012,15-64,ARQ,HHS,Amphetamines,1.6,2.2,USA
46,Americas,North America,United States of America,1.55,,,2011,15-64,ARQ,HHS,Amphetamines,1.3,1.8,USA
47,Americas,North America,United States of America,1.8,,,2010,15-64,ARQ ,HHS,Amphetamines,,,USA
48,Americas,South America,Bolivia (Plurinational State of),0.1,0.4,0,2014,12-65,ARQ,HHS,Amphetamines,,,BOL
49,Americas,South America,Bolivia (Plurinational State of),0.5,0.5,0.4,2007,12-65,ARQ,HHS,Amphetamines,,,BOL
50,Americas,South America,Brazil,1.23,0.78,1.64,2012,15-64,Government source,HHS,Amphetamines,,,BRA
51,Americas,South America,Chile,0.18,0.1,,2020,15-64,ARQ,HHS,Amphetamines,,,CHL
52,Americas,South America,Chile,0.08,0.14,0.03,2018,15-64,ARQ,HHS,Amphetamines,,,CHL
53,Americas,South America,Chile,0.18,0.25,0.11,2016,15-64,ARQ,HHS,Amphetamines,,,CHL
54,Americas,South America,Chile,0.06,0.06,0.06,2014,15-64,ARQ,HHS,Amphetamines,,,CHL
55,Americas,South America,Chile,0.08,0.14,0.03,2012,15-64,ARQ,HHS,Amphetamines,,,CHL
56,Americas,South America,Chile,0.27,,,2010,15-64,ARQ,HHS,Amphetamines,0.17,0.37,CHL
57,Americas,South America,Chile,0.4,,,2008,15-64,ARQ ,HHS ,Amphetamines,,,CHL
58,Americas,South America,Colombia,0.06,,,2008,12-65,ARQ,HHS,Amphetamines,,,COL
59,Americas,South America,Ecuador,0.2,,,2007,15-64,ARQ,HHS,Amphetamines,,,ECU
60,Americas,South America,Ecuador,0.21,,,2005,15-64,UNODC Estimate ,SS,Amphetamines,,,ECU
61,Americas,South America,Paraguay,0.51,,,2005,15-64,UNODC Estimate,SS,Amphetamines,,,PRY
62,Americas,South America,Peru,0.2,,,2006,12-64,ARQ,HHS,Amphetamines,,,PER
63,Americas,South America,Suriname,0.5,,,2007,12-65,CICAD,HHS,Amphetamines,,,SUR
64,Americas,South America,Suriname,0.6,,,2002,15-64,UNODC Estimate ,,Amphetamines,,,SUR
65,Americas,South America,Uruguay,0.3,0.3,0.2,2018,15-64,ARQ,HHS,Amphetamines,,,URY
66,Americas,South America,Uruguay,0.1,,,2018,15-65,Government sources,HHS,Amphetamines,,,URY
