,Region,SubRegion,ISO3,Country/Territory,Drug Group,Ranking
344,Asia,Near and Middle East/ South-West Asia,PSE,State of Palestine (the), Amphetamine-type stimulants,7
345,Asia,Near and Middle East/ South-West Asia,PSE,State of Palestine (the), Hallucinogens,8
346,Asia,Near and Middle East/ South-West Asia,PSE,State of Palestine (the), (Non-medical use of) pharmaceutical sedatives and tranquillizers,9
347,Asia,Near and Middle East/ South-West Asia,PSE,State of Palestine (the), Solvents and inhalants,10
348,Africa,West and Central Africa,GMB,Gambia (the),Cannabis-type drugs,1
349,Africa,West and Central Africa,GMB,Gambia (the), Cocaine-type drugs,2
350,Africa,West and Central Africa,GMB,Gambia (the)," Opioids, including opiates and synthetic opioids",3
351,Africa,West and Central Africa,GMB,Gambia (the), (Non-medical use of) pharmaceutical sedatives and tranquillizers,4
352,Africa,West and Central Africa,GMB,Gambia (the), “Ecstasy”-type substances,5
353,Africa,West and Central Africa,GMB,Gambia (the), Solvents and inhalants,6
354,Africa,West and Central Africa,GMB,Gambia (the), Amphetamine-type stimulants,7
355,Africa,West and Central Africa,GMB,Gambia (the), Hallucinogens,8
356,Africa,West and Central Africa,GMB,Gambia (the), New psychoactive substances,9
357,Africa,West and Central Africa,GMB,Gambia (the), Other drugs / psychoactive substances / pharmaceutical products not listed above,10
358,Africa,West and Central Africa,MLI,Mali,Cannabis-type drugs,1
359,Africa,West and Central Africa,MLI,Mali," Opioids, including opiates and synthetic opioids",2
360,Africa,West and Central Africa,MLI,Mali, Cocaine-type drugs,3
361,Africa,West and Central Africa,MLI,Mali, (Non-medical use of) pharmaceutical sedatives and tranquillizers,4
362,Africa,West and Central Africa,MLI,Mali, Solvents and inhalants,5
363,Africa,West and Central Africa,MLI,Mali, Other drugs / psychoactive substances / pharmaceutical products not listed above,6
364,Africa,West and Central Africa,MLI,Mali, Amphetamine-type stimulants,7
365,Africa,West and Central Africa,MLI,Mali, Hallucinogens,8
366,Europe,Western and Central Europe,ESP,Spain,Cannabis-type drugs,1
367,Europe,Western and Central Europe,ESP,Spain, Cocaine-type drugs,2
368,Europe,Western and Central Europe,ESP,Spain, (Non-medical use of) pharmaceutical sedatives and tranquillizers,3
369,Europe,Western and Central Europe,ESP,Spain, “Ecstasy”-type substances,4
370,Europe,Western and Central Europe,ESP,Spain, Amphetamine-type stimulants,5
371,Europe,Western and Central Europe,ESP,Spain, Hallucinogens,6
372,Europe,Western and Central Europe,ESP,Spain," Opioids, including opiates and synthetic opioids",7
373,Europe,Western and Central Europe,ESP,Spain, New psychoactive substances,8
374,Europe,Western and Central Europe,ESP,Spain, Solvents and inhalants,9
375,Europe,Western and Central Europe,ESP,Spain, Other drugs / psychoactive substances / pharmaceutical products not listed above,10
376,Oceania,Australia and New Zealand,AUS,Australia,Cannabis-type drugs,1
377,Oceania,Australia and New Zealand,AUS,Australia, Cocaine-type drugs,2
378,Oceania,Australia and New Zealand,AUS,Australia, “Ecstasy”-type substances,3
379,Oceania,Australia and New Zealand,AUS,Australia," Opioids, including opiates and synthetic opioids",4
380,Oceania,Australia and New Zealand,AUS,Australia, Hallucinogens,5
381,Oceania,Australia and New Zealand,AUS,Australia, Amphetamine-type stimulants,6
382,Oceania,Australia and New Zealand,AUS,Australia, Solvents and inhalants,7
383,Oceania,Australia and New Zealand,AUS,Australia, New psychoactive substances,8
384,Asia,Near and Middle East/ South-West Asia,IRQ,Iraq,Amphetamine-type stimulants,1
385,Asia,Near and Middle East/ South-West Asia,IRQ,Iraq, (Non-medical use of) pharmaceutical sedatives and tranquillizers,2
386,Asia,Near and Middle East/ South-West Asia,IRQ,Iraq, Cannabis-type drugs,3
387,Asia,Near and Middle East/ South-West Asia,IRQ,Iraq," Opioids, including opiates and synthetic opioids",4
388,Asia,Near and Middle East/ South-West Asia,IRQ,Iraq, Solvents and inhalants,5
389,Europe,Western and Central Europe,NLD,Netherlands (the),Cannabis-type drugs,1
390,Europe,Western and Central Europe,NLD,Netherlands (the), (Non-medical use of) pharmaceutical sedatives and tranquillizers,2
391,Europe,Western and Central Europe,NLD,Netherlands (the), “Ecstasy”-type substances,3
392,Europe,Western and Central Europe,NLD,Netherlands (the), Cocaine-type drugs,4
393,Europe,Western and Central Europe,NLD,Netherlands (the), Amphetamine-type stimulants,5
394,Europe,Western and Central Europe,NLD,Netherlands (the), New psychoactive substances,6
395,Europe,Western and Central Europe,NLD,Netherlands (the)," Opioids, including opiates and synthetic opioids",7
396,Europe,Western and Central Europe,PRT,Portugal,Cannabis-type drugs,1
397,Europe,Western and Central Europe,PRT,Portugal, (Non-medical use of) pharmaceutical sedatives and tranquillizers,2
398,Europe,Western and Central Europe,PRT,Portugal, Cocaine-type drugs,3
399,Europe,Western and Central Europe,PRT,Portugal, New psychoactive substances,4
400,Europe,Western and Central Europe,PRT,Portugal, “Ecstasy”-type substances,5
401,Europe,Western and Central Europe,PRT,Portugal," Opioids, including opiates and synthetic opioids",6
402,Europe,Western and Central Europe,PRT,Portugal, Hallucinogens,7
403,Europe,Western and Central Europe,PRT,Portugal, Amphetamine-type stimulants,8
404,Europe,Eastern Europe,UKR,Ukraine,"Opioids, including opiates and synthetic opioids",1
405,Europe,Eastern Europe,UKR,Ukraine, Cannabis-type drugs,2
406,Europe,Eastern Europe,UKR,Ukraine, Amphetamine-type stimulants,3
407,Europe,Western and Central Europe,CZE,Czechia,(Non-medical use of) pharmaceutical sedatives and tranquillizers,1
408,Europe,Western and Central Europe,CZE,Czechia, Cannabis-type drugs,2
409,Europe,Western and Central Europe,CZE,Czechia, “Ecstasy”-type substances,3
410,Europe,Western and Central Europe,CZE,Czechia, Hallucinogens,4
411,Europe,Western and Central Europe,CZE,Czechia, New psychoactive substances,5
412,Europe,Western and Central Europe,CZE,Czechia, Amphetamine-type stimulants,6
413,Europe,Western and Central Europe,CZE,Czechia, Cocaine-type drugs,7
414,Europe,Western and Central Europe,CZE,Czechia," Opioids, including opiates and synthetic opioids",8
415,Europe,Western and Central Europe,CZE,Czechia, Solvents and inhalants,9
416,Asia,Central Asia and Transcaucasia,KGZ,Kyrgyzstan,"Opioids, including opiates and synthetic opioids",1
417,Asia,Central Asia and Transcaucasia,KGZ,Kyrgyzstan, Cannabis-type drugs,2
418,Asia,Central Asia and Transcaucasia,KGZ,Kyrgyzstan, Other drugs / psychoactive substances / pharmaceutical products not listed above,3
419,Asia,Central Asia and Transcaucasia,KGZ,Kyrgyzstan, Solvents and inhalants,4
420,Asia,Central Asia and Transcaucasia,KGZ,Kyrgyzstan, Amphetamine-type stimulants,5
421,Asia,Central Asia and Transcaucasia,UZB,Uzbekistan,Cannabis-type drugs,1
422,Asia,Central Asia and Transcaucasia,UZB,Uzbekistan," Opioids, including opiates and synthetic opioids",2
423,Asia,Central Asia and Transcaucasia,UZB,Uzbekistan, (Non-medical use of) pharmaceutical sedatives and tranquillizers,3
424,Asia,Central Asia and Transcaucasia,UZB,Uzbekistan, Solvents and inhalants,4
425,Asia,Central Asia and Transcaucasia,UZB,Uzbekistan, New psychoactive substances,5
426,Asia,Central Asia and Transcaucasia,UZB,Uzbekistan, Amphetamine-type stimulants,6
427,Europe,Western and Central Europe,IRL,Ireland,Cannabis-type drugs,1
428,Europe,Western and Central Europe,IRL,Ireland, “Ecstasy”-type substances,2
429,Europe,Western and Central Europe,IRL,Ireland, Cocaine-type drugs,3
430,Europe,Western and Central Europe,IRL,Ireland, Hallucinogens,4
431,Europe,Western and Central Europe,IRL,Ireland, Amphetamine-type stimulants,5
432,Europe,Western and Central Europe,IRL,Ireland, New psychoactive substances,6
433,Asia,East and South-East Asia,CHN,China,Amphetamine-type stimulants,1
434,Asia,East and South-East Asia,CHN,China," Opioids, including opiates and synthetic opioids",2
435,Asia,East and South-East Asia,CHN,China, Cannabis-type drugs,3
436,Asia,East and South-East Asia,CHN,China, “Ecstasy”-type substances,4
437,Asia,East and South-East Asia,CHN,China, Cocaine-type drugs,5
438,Europe,Western and Central Europe,GBR,United Kingdom of Great Britain and Northern Ireland (the),Cannabis-type drugs,1
439,Europe,Western and Central Europe,GBR,United Kingdom of Great Britain and Northern Ireland (the), Cocaine-type drugs,2
440,Europe,Western and Central Europe,GBR,United Kingdom of Great Britain and Northern Ireland (the), “Ecstasy”-type substances,3
441,Europe,Western and Central Europe,GBR,United Kingdom of Great Britain and Northern Ireland (the), Amphetamine-type stimulants,4
442,Europe,Western and Central Europe,GBR,United Kingdom of Great Britain and Northern Ireland (the), Hallucinogens,5
443,Europe,Western and Central Europe,GBR,United Kingdom of Great Britain and Northern Ireland (the), (Non-medical use of) pharmaceutical sedatives and tranquillizers,6
444,Europe,Western and Central Europe,GBR,United Kingdom of Great Britain and Northern Ireland (the)," Opioids, including opiates and synthetic opioids",7
445,Asia,Near and Middle East/ South-West Asia,SAU,Saudi Arabia,Amphetamine-type stimulants,1
446,Asia,Near and Middle East/ South-West Asia,SAU,Saudi Arabia, Cannabis-type drugs,2
447,Asia,Near and Middle East/ South-West Asia,SAU,Saudi Arabia, (Non-medical use of) pharmaceutical sedatives and tranquillizers,3
448,Asia,Near and Middle East/ South-West Asia,SAU,Saudi Arabia," Opioids, including opiates and synthetic opioids",4
449,Asia,Near and Middle East/ South-West Asia,SAU,Saudi Arabia, Solvents and inhalants,5
450,Asia,East and South-East Asia,MAC,"China, Macao SAR",Amphetamine-type stimulants,1
451,Asia,East and South-East Asia,MAC,"China, Macao SAR", Cocaine-type drugs,2
452,Asia,East and South-East Asia,MAC,"China, Macao SAR", Cannabis-type drugs,3
453,Asia,East and South-East Asia,MAC,"China, Macao SAR"," Opioids, including opiates and synthetic opioids",4
454,Asia,East and South-East Asia,MAC,"China, Macao SAR", New psychoactive substances,5
455,Africa,Southern Africa,ZMB,Zambia,Cannabis-type drugs,1
456,Africa,Southern Africa,ZMB,Zambia," Opioids, including opiates and synthetic opioids",2
457,Africa,Southern Africa,ZMB,Zambia, Cocaine-type drugs,3
458,Africa,West and Central Africa,GHA,Ghana,Cannabis-type drugs,1
459,Africa,West and Central Africa,GHA,Ghana, Cocaine-type drugs,2
460,Africa,West and Central Africa,GHA,Ghana," Opioids, including opiates and synthetic opioids",3
461,Africa,West and Central Africa,GHA,Ghana, Other drugs / psychoactive substances / pharmaceutical products not listed above,4
462,Africa,North Africa,MAR,Morocco,Cannabis-type drugs,1
463,Africa,North Africa,MAR,Morocco, (Non-medical use of) pharmaceutical sedatives and tranquillizers,2
464,Africa,North Africa,MAR,Morocco, Cocaine-type drugs,3
465,Africa,North Africa,MAR,Morocco, Solvents and inhalants,4
466,Africa,North Africa,MAR,Morocco," Opioids, including opiates and synthetic opioids",5
467,Asia,East and South-East Asia,HKG,"China, Hong Kong SAR","Opioids, including opiates and synthetic opioids",1
468,Asia,East and South-East Asia,HKG,"China, Hong Kong SAR", Amphetamine-type stimulants,2
469,Americas,Central America,CRI,Costa Rica,Cannabis-type drugs,1
470,Americas,Central America,CRI,Costa Rica, Cocaine-type drugs,2
471,Americas,Central America,CRI,Costa Rica, (Non-medical use of) pharmaceutical sedatives and tranquillizers,3
472,Americas,Central America,CRI,Costa Rica," Opioids, including opiates and synthetic opioids",4
473,Americas,Central America,CRI,Costa Rica, Amphetamine-type stimulants,5
474,Americas,Central America,CRI,Costa Rica, Hallucinogens,6
475,Europe,Western and Central Europe,HUN,Hungary,(Non-medical use of) pharmaceutical sedatives and tranquillizers,1
476,Europe,Western and Central Europe,HUN,Hungary, Cannabis-type drugs,2
477,Europe,Western and Central Europe,HUN,Hungary, New psychoactive substances,3
478,Europe,Western and Central Europe,HUN,Hungary, “Ecstasy”-type substances,4
479,Europe,Western and Central Europe,HUN,Hungary, Amphetamine-type stimulants,5
480,Europe,Western and Central Europe,HUN,Hungary, Cocaine-type drugs,6
481,Europe,Western and Central Europe,HUN,Hungary, Hallucinogens,7
482,Europe,Western and Central Europe,HUN,Hungary," Opioids, including opiates and synthetic opioids",8
483,Europe,Western and Central Europe,HUN,Hungary, Solvents and inhalants,9
484,Asia,East and South-East Asia,THA,Thailand,Amphetamine-type stimulants,1
485,Asia,East and South-East Asia,THA,Thailand, Cannabis-type drugs,2
486,Asia,East and South-East Asia,THA,Thailand," Opioids, including opiates and synthetic opioids",3
487,Asia,East and South-East Asia,THA,Thailand, New psychoactive substances,4
488,Asia,East and South-East Asia,THA,Thailand, Solvents and inhalants,5
489,Asia,East and South-East Asia,THA,Thailand, Other drugs / psychoactive substances / pharmaceutical products not listed above,6
490,Asia,East and South-East Asia,THA,Thailand, “Ecstasy”-type substances,7
491,Asia,East and South-East Asia,THA,Thailand, Cocaine-type drugs,8
492,Asia,East and South-East Asia,THA,Thailand, Hallucinogens,9
493,Asia,East and South-East Asia,HKG,"China, Hong Kong SAR", (Non-medical use of) pharmaceutical sedatives and tranquillizers,3
494,Asia,East and South-East Asia,HKG,"China, Hong Kong SAR", Cannabis-type drugs,4
495,Asia,East and South-East Asia,HKG,"China, Hong Kong SAR", Cocaine-type drugs,5
496,Asia,East and South-East Asia,HKG,"China, Hong Kong SAR", New psychoactive substances,6
497,Asia,East and South-East Asia,HKG,"China, Hong Kong SAR", Other drugs / psychoactive substances / pharmaceutical products not listed above,7
498,Asia,East and South-East Asia,HKG,"China, Hong Kong SAR", “Ecstasy”-type substances,8
499,Asia,East and South-East Asia,HKG,"China, Hong Kong SAR", Hallucinogens,9
500,Asia,East and South-East Asia,HKG,"China, Hong Kong SAR", Solvents and inhalants,10
501,Americas,South America,CHL,Chile,Cannabis-type drugs,1
502,Americas,South America,CHL,Chile, (Non-medical use of) pharmaceutical sedatives and tranquillizers,2
503,Americas,South America,CHL,Chile," Opioids, including opiates and synthetic opioids",3
504,Americas,South America,CHL,Chile, Hallucinogens,4
505,Americas,South America,CHL,Chile, Cocaine-type drugs,5
506,Americas,South America,CHL,Chile, New psychoactive substances,6
507,Americas,South America,CHL,Chile, Solvents and inhalants,7
508,Americas,South America,CHL,Chile, “Ecstasy”-type substances,8
509,Americas,South America,CHL,Chile, Other drugs / psychoactive substances / pharmaceutical products not listed above,9
510,Americas,South America,CHL,Chile, Amphetamine-type stimulants,10
511,Europe,Western and Central Europe,CYP,Cyprus,Cannabis-type drugs,1
512,Europe,Western and Central Europe,CYP,Cyprus, (Non-medical use of) pharmaceutical sedatives and tranquillizers,2
513,Europe,Western and Central Europe,CYP,Cyprus, Cocaine-type drugs,3
514,Europe,Western and Central Europe,CYP,Cyprus, “Ecstasy”-type substances,4
515,Europe,Western and Central Europe,CYP,Cyprus, New psychoactive substances,5
516,Europe,Western and Central Europe,CYP,Cyprus, Hallucinogens,6
517,Europe,Western and Central Europe,CYP,Cyprus, Amphetamine-type stimulants,7
518,Europe,Western and Central Europe,CYP,Cyprus," Opioids, including opiates and synthetic opioids",8
519,Americas,South America,ARG,Argentina,Cannabis-type drugs,1
520,Americas,South America,ARG,Argentina, Cocaine-type drugs,2
521,Americas,South America,ARG,Argentina, (Non-medical use of) pharmaceutical sedatives and tranquillizers,3
522,Americas,South America,ARG,Argentina, Hallucinogens,4
523,Americas,South America,ARG,Argentina, Amphetamine-type stimulants,5
524,Americas,South America,ARG,Argentina, Solvents and inhalants,6
525,Americas,Central America,SLV,El Salvador,Cannabis-type drugs,1
526,Americas,Central America,SLV,El Salvador, (Non-medical use of) pharmaceutical sedatives and tranquillizers,2
527,Americas,Central America,SLV,El Salvador, Solvents and inhalants,3
528,Americas,Central America,SLV,El Salvador, Cocaine-type drugs,4
529,Americas,Central America,SLV,El Salvador, Amphetamine-type stimulants,5
530,Americas,Central America,SLV,El Salvador, Hallucinogens,6
531,Americas,Central America,SLV,El Salvador, “Ecstasy”-type substances,7
532,Americas,Central America,SLV,El Salvador, New psychoactive substances,8
533,Asia,Near and Middle East/ South-West Asia,OMN,Oman,"Opioids, including opiates and synthetic opioids",1
534,Asia,Near and Middle East/ South-West Asia,OMN,Oman, Cannabis-type drugs,2
535,Asia,Near and Middle East/ South-West Asia,OMN,Oman, (Non-medical use of) pharmaceutical sedatives and tranquillizers,3
536,Asia,Near and Middle East/ South-West Asia,OMN,Oman, Amphetamine-type stimulants,4
537,Asia,Near and Middle East/ South-West Asia,OMN,Oman, Hallucinogens,5
538,Americas,South America,URY,Uruguay,Cannabis-type drugs,1
539,Americas,South America,URY,Uruguay, Cocaine-type drugs,2
540,Americas,South America,URY,Uruguay, (Non-medical use of) pharmaceutical sedatives and tranquillizers,3
541,Americas,South America,URY,Uruguay, Hallucinogens,4
542,Americas,South America,URY,Uruguay, “Ecstasy”-type substances,5
543,Americas,South America,URY,Uruguay, Solvents and inhalants,6
544,Americas,South America,URY,Uruguay," Opioids, including opiates and synthetic opioids",7
545,Americas,South America,URY,Uruguay, Amphetamine-type stimulants,8
546,Americas,South America,URY,Uruguay, New psychoactive substances,9
547,Europe,Western and Central Europe,POL,Poland,(Non-medical use of) pharmaceutical sedatives and tranquillizers,1
548,Europe,Western and Central Europe,POL,Poland, Cannabis-type drugs,2
549,Europe,Western and Central Europe,POL,Poland, New psychoactive substances,3
550,Europe,Western and Central Europe,POL,Poland, Amphetamine-type stimulants,4
551,Europe,Western and Central Europe,POL,Poland," Opioids, including opiates and synthetic opioids",5
552,Europe,Western and Central Europe,POL,Poland, Hallucinogens,6
553,Europe,Western and Central Europe,POL,Poland, “Ecstasy”-type substances,7
554,Europe,Western and Central Europe,POL,Poland, Cocaine-type drugs,8
555,Europe,Western and Central Europe,POL,Poland, Solvents and inhalants,9
556,Europe,Western and Central Europe,EST,Estonia,Cannabis-type drugs,1
557,Europe,Western and Central Europe,EST,Estonia, Amphetamine-type stimulants,2
558,Europe,Western and Central Europe,EST,Estonia, “Ecstasy”-type substances,3
559,Europe,Western and Central Europe,EST,Estonia, Cocaine-type drugs,4
560,Europe,Western and Central Europe,EST,Estonia, (Non-medical use of) pharmaceutical sedatives and tranquillizers,5
561,Europe,Western and Central Europe,EST,Estonia, Solvents and inhalants,6
562,Europe,Western and Central Europe,EST,Estonia, Hallucinogens,7
563,Europe,Western and Central Europe,EST,Estonia, New psychoactive substances,8
564,Europe,Western and Central Europe,EST,Estonia," Opioids, including opiates and synthetic opioids",9
565,Europe,Western and Central Europe,EST,Estonia, Other drugs / psychoactive substances / pharmaceutical products not listed above,10
566,Europe,South-Eastern Europe,HRV,Croatia,Cannabis-type drugs,1
567,Europe,South-Eastern Europe,HRV,Croatia, (Non-medical use of) pharmaceutical sedatives and tranquillizers,2
568,Europe,South-Eastern Europe,HRV,Croatia, Cocaine-type drugs,3
569,Europe,South-Eastern Europe,HRV,Croatia, Amphetamine-type stimulants,4
570,Europe,South-Eastern Europe,HRV,Croatia, “Ecstasy”-type substances,5
571,Europe,South-Eastern Europe,HRV,Croatia, Hallucinogens,6
572,Europe,South-Eastern Europe,HRV,Croatia," Opioids, including opiates and synthetic opioids",7
573,Europe,South-Eastern Europe,HRV,Croatia, New psychoactive substances,8
574,Asia,Near and Middle East/ South-West Asia,ISR,Israel,Cannabis-type drugs,1
575,Asia,Near and Middle East/ South-West Asia,ISR,Israel," Opioids, including opiates and synthetic opioids",2
576,Asia,Near and Middle East/ South-West Asia,ISR,Israel, (Non-medical use of) pharmaceutical sedatives and tranquillizers,3
577,Asia,Near and Middle East/ South-West Asia,ISR,Israel, Cocaine-type drugs,4
578,Asia,Near and Middle East/ South-West Asia,ISR,Israel, “Ecstasy”-type substances,5
579,Asia,Near and Middle East/ South-West Asia,ISR,Israel, Hallucinogens,6
580,Asia,Near and Middle East/ South-West Asia,ISR,Israel, Amphetamine-type stimulants,7
581,Asia,Near and Middle East/ South-West Asia,ISR,Israel, New psychoactive substances,8
582,Asia,Near and Middle East/ South-West Asia,ISR,Israel, Solvents and inhalants,9
583,Asia,Near and Middle East/ South-West Asia,ISR,Israel, Other drugs / psychoactive substances / pharmaceutical products not listed above,10
584,Africa,East Africa,KEN,Kenya,Amphetamine-type stimulants,1
585,Africa,East Africa,KEN,Kenya, Cannabis-type drugs,2
586,Africa,East Africa,KEN,Kenya," Opioids, including opiates and synthetic opioids",3
587,Africa,East Africa,KEN,Kenya, Other drugs / psychoactive substances / pharmaceutical products not listed above,4
588,Africa,East Africa,KEN,Kenya, (Non-medical use of) pharmaceutical sedatives and tranquillizers,5
589,Africa,East Africa,KEN,Kenya, Solvents and inhalants,6
590,Africa,East Africa,KEN,Kenya, Cocaine-type drugs,7
591,Asia,East and South-East Asia,TLS,Timor-Leste,Amphetamine-type stimulants,1
592,Asia,East and South-East Asia,TLS,Timor-Leste, Cannabis-type drugs,2
593,Asia,East and South-East Asia,TLS,Timor-Leste, Cocaine-type drugs,3
594,Asia,East and South-East Asia,TLS,Timor-Leste, “Ecstasy”-type substances,4
595,Asia,East and South-East Asia,TLS,Timor-Leste, Hallucinogens,5
596,Asia,East and South-East Asia,TLS,Timor-Leste, New psychoactive substances,6
597,Americas,South America,BOL,Bolivia (Plurinational State of),Cannabis-type drugs,1
598,Americas,South America,BOL,Bolivia (Plurinational State of), Cocaine-type drugs,2
599,Americas,South America,BOL,Bolivia (Plurinational State of), Solvents and inhalants,3
600,Americas,South America,BOL,Bolivia (Plurinational State of), “Ecstasy”-type substances,4
601,Americas,South America,BOL,Bolivia (Plurinational State of), Amphetamine-type stimulants,5
602,Americas,South America,BOL,Bolivia (Plurinational State of), (Non-medical use of) pharmaceutical sedatives and tranquillizers,6
603,Asia,East and South-East Asia,SGP,Singapore,Amphetamine-type stimulants,1
604,Asia,East and South-East Asia,SGP,Singapore," Opioids, including opiates and synthetic opioids",2
605,Asia,East and South-East Asia,SGP,Singapore, New psychoactive substances,3
606,Asia,East and South-East Asia,SGP,Singapore, Cannabis-type drugs,4
607,Asia,East and South-East Asia,SGP,Singapore, “Ecstasy”-type substances,5
608,Asia,East and South-East Asia,SGP,Singapore, Cocaine-type drugs,6
609,Asia,East and South-East Asia,SGP,Singapore, Hallucinogens,7
610,Asia,East and South-East Asia,SGP,Singapore, Other drugs / psychoactive substances / pharmaceutical products not listed above,8
611,Asia,East and South-East Asia,IDN,Indonesia,Cannabis-type drugs,1
612,Asia,East and South-East Asia,IDN,Indonesia, (Non-medical use of) pharmaceutical sedatives and tranquillizers,2
613,Asia,East and South-East Asia,IDN,Indonesia, Amphetamine-type stimulants,3
614,Asia,East and South-East Asia,IDN,Indonesia, “Ecstasy”-type substances,4
615,Asia,East and South-East Asia,IDN,Indonesia, Hallucinogens,5
616,Asia,East and South-East Asia,IDN,Indonesia, Solvents and inhalants,6
617,Asia,East and South-East Asia,IDN,Indonesia, Other drugs / psychoactive substances / pharmaceutical products not listed above,7
618,Asia,East and South-East Asia,IDN,Indonesia, New psychoactive substances,8
619,Asia,East and South-East Asia,IDN,Indonesia, Cocaine-type drugs,9
620,Asia,East and South-East Asia,IDN,Indonesia," Opioids, including opiates and synthetic opioids",10
621,Africa,West and Central Africa,TGO,Togo,Cannabis-type drugs,1
622,Africa,West and Central Africa,TGO,Togo," Opioids, including opiates and synthetic opioids",2
623,Africa,West and Central Africa,TGO,Togo, Cocaine-type drugs,3
